month,town,resale_price
2017-01-01,BUKIT MERAH,512267.85714285716
2017-01-01,CENTRAL AREA,594583.3333333334
2017-01-01,JURONG WEST,402120.21428571426
2017-01-01,TAMPINES,449650.7804878049
2017-01-01,WOODLANDS,390294.734939759
2017-02-01,BUKIT MERAH,576042.6666666666
2017-02-01,CENTRAL AREA,581454.5454545454
2017-02-01,JURONG WEST,390337.93333333335
2017-02-01,TAMPINES,499882.5142857143
2017-02-01,WOODLANDS,393542.75675675675
2017-03-01,BUKIT MERAH,523554.72222222225
2017-03-01,CENTRAL AREA,687333.3333333334
2017-03-01,JURONG WEST,395489.0909090909
2017-03-01,TAMPINES,466209.22033898305
2017-03-01,WOODLANDS,384942.63636363635
2017-04-01,BUKIT MERAH,560531.0982857143
2017-04-01,CENTRAL AREA,571454.5
2017-04-01,JURONG WEST,388023.5273239437
2017-04-01,TAMPINES,463204.2109375
2017-04-01,WOODLANDS,394866.71532846714
2017-05-01,BUKIT MERAH,596185.0731707317
2017-05-01,CENTRAL AREA,644400.0
2017-05-01,JURONG WEST,404778.1728395062
2017-05-01,TAMPINES,489845.1832061069
2017-05-01,WOODLANDS,380086.54545454547
2017-06-01,BUKIT MERAH,587488.4848484849
2017-06-01,CENTRAL AREA,708464.2857142857
2017-06-01,JURONG WEST,389184.5496183206
2017-06-01,TAMPINES,456210.407079646
2017-06-01,WOODLANDS,392956.671875
2017-07-01,BUKIT MERAH,539127.7272727273
2017-07-01,CENTRAL AREA,593181.8181818182
2017-07-01,JURONG WEST,391819.32352941175
2017-07-01,TAMPINES,467014.5925925926
2017-07-01,WOODLANDS,384421.7902097902
2017-08-01,BUKIT MERAH,526142.4571428571
2017-08-01,CENTRAL AREA,664482.6666666666
2017-08-01,JURONG WEST,400711.64556962025
2017-08-01,TAMPINES,468467.4324324324
2017-08-01,WOODLANDS,407002.76712328766
2017-09-01,BUKIT MERAH,607485.3880597015
2017-09-01,CENTRAL AREA,731740.6666666666
2017-09-01,JURONG WEST,394782.2571428571
2017-09-01,TAMPINES,474517.7021276596
2017-09-01,WOODLANDS,389779.58208955225
2017-10-01,BUKIT MERAH,596177.2
2017-10-01,CENTRAL AREA,538851.8095238095
2017-10-01,JURONG WEST,392915.9144736842
2017-10-01,TAMPINES,489492.3396226415
2017-10-01,WOODLANDS,381658.9781021898
2017-11-01,BUKIT MERAH,563481.5185185185
2017-11-01,CENTRAL AREA,589093.75
2017-11-01,JURONG WEST,392464.94545454544
2017-11-01,TAMPINES,486067.90769230766
2017-11-01,WOODLANDS,374274.60625
2017-12-01,BUKIT MERAH,584613.3620689656
2017-12-01,CENTRAL AREA,578500.0
2017-12-01,JURONG WEST,398430.487394958
2017-12-01,TAMPINES,479486.0
2017-12-01,WOODLANDS,388605.47572815535
2018-01-01,BUKIT MERAH,549895.8333333334
2018-01-01,CENTRAL AREA,612692.3076923077
2018-01-01,JURONG WEST,384882.59154929576
2018-01-01,TAMPINES,498224.1403508772
2018-01-01,WOODLANDS,385596.602739726
2018-02-01,BUKIT MERAH,508616.48780487804
2018-02-01,CENTRAL AREA,747477.6
2018-02-01,JURONG WEST,384079.6595744681
2018-02-01,TAMPINES,494558.09230769234
2018-02-01,WOODLANDS,365151.16279069765
2018-03-01,BUKIT MERAH,560245.6944444445
2018-03-01,CENTRAL AREA,761470.8571428572
2018-03-01,JURONG WEST,395596.3947368421
2018-03-01,TAMPINES,485607.8857142857
2018-03-01,WOODLANDS,378927.03225806454
2018-04-01,BUKIT MERAH,580851.4430379746
2018-04-01,CENTRAL AREA,630562.5
2018-04-01,JURONG WEST,392101.41353383457
2018-04-01,TAMPINES,496502.624
2018-04-01,WOODLANDS,376000.4094488189
2018-05-01,BUKIT MERAH,585391.4098360656
2018-05-01,CENTRAL AREA,641375.0
2018-05-01,JURONG WEST,403491.2931034483
2018-05-01,TAMPINES,514304.7581699346
2018-05-01,WOODLANDS,368052.95967741933
2018-06-01,BUKIT MERAH,557429.5454545454
2018-06-01,CENTRAL AREA,686187.5
2018-06-01,JURONG WEST,384011.0126582279
2018-06-01,TAMPINES,484861.53125
2018-06-01,WOODLANDS,377796.19444444444
2018-07-01,BUKIT MERAH,587636.5757575758
2018-07-01,CENTRAL AREA,562307.6923076923
2018-07-01,JURONG WEST,387864.53125
2018-07-01,TAMPINES,498947.0731707317
2018-07-01,WOODLANDS,374596.15736040607
2018-08-01,BUKIT MERAH,587946.4691358025
2018-08-01,CENTRAL AREA,536464.0
2018-08-01,JURONG WEST,362457.06172839506
2018-08-01,TAMPINES,471775.85074626864
2018-08-01,WOODLANDS,383554.7368421053
